ISIN,Unit of account,Category,2018,2019,2020,2021,2022,2023,2024,10 years,5 years,3 years,1 year,Volatility 5 years,Volatility 3 years,Volatility 1 year,Sharpe,Fees
LU1313771856,Candriam Sustainable Equity Europe C Acc EUR,Actions Europe Gdes Cap. Mixte,-0.1028,0.3008,0.0278,0.242,-0.1394,0.0718,0.0127,0.0,0.2324,0.0249,0.0649,0.1596,0.1431,0.0819,-0.25,0.015
LU1582988058,M&G (Lux) Dynamic Allocation Fund EUR A Acc,Allocation EUR Flexible - International,-0.1082,0.1131,0.0039,0.0391,-0.0308,0.0704,0.0261,0.2783,0.1251,0.0737,0.0647,0.103,0.0755,0.0491,-0.19,0.0175
LU1623762843,Carmignac Pf Credit A EUR Acc,Obligations EUR Flexibles,0.0169,0.2093,0.1039,0.0296,-0.1301,0.1058,0.0821,0.0,0.177,0.0489,0.0841,0.0929,0.0662,0.0134,3.35,0.01
LU1670710075,M&G (Lux) Global Dividend Fund EUR A Acc,Actions International Rendement,-0.0868,0.2413,0.0366,0.2092,-0.0226,0.0961,0.2238,1.2892,0.6382,0.3313,0.2497,0.1691,0.1212,0.0395,4.25,0.0175
LU1670724373,M&G (Lux) Optimal Income Fund EUR A Acc,Allocation GBP Prudente,-0.04,0.0681,0.0144,0.0117,-0.123,0.1022,-0.0043,0.0967,-0.0184,-0.0341,0.0079,0.085,0.0867,0.053,-0.74,0.0125
LU1900799617,M&G (Lux) Sustainable Allocation Fund EUR A Acc,Allocation EUR Modérée - International,0.0,0.1608,0.0196,0.088,-0.1534,0.0818,0.0208,0.0,0.035,-0.0399,0.0474,0.1024,0.0921,0.0508,-0.28,0.015
LU2147879543,Tikehau International Cross Assets R EUR Acc,Allocation EUR Flexible - International,0.0,0.0,-0.0186,0.0566,-0.0908,0.0759,0.0636,0.2622,0.0984,0.0535,0.0816,0.054,0.0419,0.031,0.84,0.015
LU2257980289,Mandarine Global Transition R,Actions Secteur Ecologie,0.0,0.0,0.0,0.2707,-0.2101,0.0572,0.1202,0.0,0.0,0.0941,0.1753,0.0,0.1704,0.0921,0.89,0.0195
LU2661119755,DNCA Invest Evolutif C EUR,Allocation EUR Flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,0.0,0.0,0.0,0.1646,0.0,0.0,0.0866,1.07,0.022
QS0002000408,SCPI SELECTINVEST 1,IMMOBILIER - DIRECT AUTRES,0.0351,0.0351,0.0361,0.0314,0.0385,0.0438,0.0362,0.0,0.1798,0.1103,0.0299,0.0,0.0,0.0,0.0,0.0183
QS0002005285,SCPI PRIMOPIERRE,IMMOBILIER - DIRECT AUTRES,0.1056,0.0383,0.0461,0.0451,0.0414,0.0346,-0.096,0.0,0.0067,-0.0858,-0.0325,0.0,0.0,0.0,0.0,0.0128
QS0002005299,SCPI PATRIMMO COMMERCE,IMMOBILIER - DIRECT AUTRES,0.0752,0.0403,0.0399,0.0273,0.0279,0.0297,-0.0726,0.0,0.0456,-0.0125,0.0348,0.0,0.0,0.0,0.0,0.0179
QS0002005324,SCPI PRIMOVIE,IMMOBILIER - DIRECT AUTRES,0.1088,0.039,0.0382,0.0356,0.037,0.0396,0.0369,0.0,0.0974,0.0245,-0.0528,0.0,0.0,0.0,0.0,0.0204
QS0002006003,SCPI EFIMMO,IMMOBILIER - DIRECT AUTRES,0.0446,0.0415,0.0742,0.0371,0.0433,0.0442,-0.0698,0.0,0.0938,0.0133,-0.0679,0.0,0.0,0.0,0.0,0.0224
QS0002006011,SCPI IMMORENTE,IMMOBILIER - DIRECT AUTRES,0.0586,0.0406,0.0609,0.0339,0.0483,0.0421,0.0395,0.0,0.2045,0.1308,0.0392,0.0,0.0,0.0,0.0,0.0185
QS0002006342,SCPI PRIMOFAMILY,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0511,0.0437,0.042,0.0452,0.0306,0.0,0.198,0.1051,0.0306,0.0,0.0,0.0,0.0,0.0318
SUR000000001,FONDS EN EUROS,0,0.012,0.008,0.005,0.0085,0.017,0.022,0.0,0.0,0.0531,0.0381,0.0,0.0,0.0,0.0,0.0,
